,name,timestamp,week,symbol,compound,positive,negative,neutral,add
96,SatoshiLite,Nov/28/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
97,SatoshiLite,Nov/28/2017,48,Bitcoin,0.6514,0.194,0.0,0.806,1
98,SatoshiLite,Nov/28/2017,48,Bitcoin,0.6997,0.243,0.0,0.757,1
99,SatoshiLite,Nov/28/2017,48,Bitcoin,0.6997,0.266,0.0,0.734,1
100,SatoshiLite,Nov/28/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
101,SatoshiLite,Nov/27/2017,48,Bitcoin,0.296,0.524,0.0,0.476,1
102,SatoshiLite,Nov/27/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
103,SatoshiLite,Nov/27/2017,48,Bitcoin,0.4404,0.293,0.0,0.707,1
104,SatoshiLite,Nov/27/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
105,SatoshiLite,Nov/27/2017,48,Bitcoin,0.3802,0.11,0.0,0.89,1
106,SatoshiLite,Nov/27/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
107,SatoshiLite,Nov/27/2017,48,Bitcoin,0.4588,0.174,0.0,0.826,1
108,SatoshiLite,Nov/27/2017,48,Bitcoin,0.3875,0.283,0.115,0.602,1
109,SatoshiLite,Nov/27/2017,48,Bitcoin,-0.6696,0.113,0.302,0.584,1
110,SatoshiLite,Nov/27/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
111,SatoshiLite,Nov/26/2017,47,Bitcoin,0.0,0.0,0.0,1.0,1
112,SatoshiLite,Nov/26/2017,47,Bitcoin,0.4215,0.237,0.0,0.763,1
113,SatoshiLite,Nov/25/2017,47,Bitcoin,-0.2057,0.0,0.154,0.846,1
114,SatoshiLite,Nov/25/2017,47,Bitcoin,0.0,0.0,0.0,1.0,1
115,SatoshiLite,Nov/24/2017,47,Bitcoin,0.27,0.14,0.088,0.772,1
116,SatoshiLite,Nov/24/2017,47,Bitcoin,0.4019,0.278,0.0,0.722,1
117,SatoshiLite,Nov/24/2017,47,Bitcoin,0.3612,0.128,0.0,0.872,1
118,SatoshiLite,Nov/24/2017,47,Bitcoin,0.8126,0.286,0.0,0.714,1
119,SatoshiLite,Nov/24/2017,47,Bitcoin,0.0,0.0,0.0,1.0,1
120,SatoshiLite,Nov/21/2017,47,Bitcoin,0.0,0.0,0.0,1.0,1
121,SatoshiLite,Nov/21/2017,47,Bitcoin,0.0,0.0,0.0,1.0,1
122,SatoshiLite,Nov/20/2017,47,Bitcoin,-0.296,0.0,0.099,0.901,1
123,SatoshiLite,Nov/20/2017,47,Bitcoin,0.4019,0.124,0.0,0.876,1
124,SatoshiLite,Nov/20/2017,47,Bitcoin,0.2732,0.344,0.0,0.656,1
125,SatoshiLite,Nov/20/2017,47,Bitcoin,0.5859,0.242,0.0,0.758,1
126,SatoshiLite,Nov/20/2017,47,Bitcoin,0.0,0.0,0.0,1.0,1
127,SatoshiLite,Nov/20/2017,47,Bitcoin,-0.296,0.0,0.239,0.761,1
128,SatoshiLite,Nov/19/2017,46,Bitcoin,0.4588,0.182,0.0,0.818,1
129,SatoshiLite,Nov/18/2017,46,Bitcoin,0.3612,0.294,0.0,0.706,1
130,SatoshiLite,Nov/17/2017,46,Bitcoin,0.6166,0.366,0.0,0.634,1
131,SatoshiLite,Nov/17/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
132,SatoshiLite,Nov/17/2017,46,Bitcoin,-0.0701,0.103,0.114,0.783,1
133,SatoshiLite,Nov/17/2017,46,Bitcoin,0.5719,0.278,0.108,0.614,1
134,SatoshiLite,Nov/17/2017,46,Bitcoin,0.4926,0.186,0.0,0.814,1
135,SatoshiLite,Nov/17/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
