Date,Open,High,Low,Close,Adj Close,Volume
7/16/2017,1914.089966,2233.830078,1913.790039,2233.389893,2233.389893,368366495
7/17/2017,2233.389893,2400.73999,2164.590088,2320.22998,2320.22998,465220151
7/18/2017,2320.22998,2412.379883,2243.129883,2282.580078,2282.580078,357639189
7/19/2017,2282.580078,2932.810059,2282.110107,2866.02002,2866.02002,807416890
7/20/2017,2866.02002,2873.959961,2622.540039,2675.080078,2675.080078,529154789
7/21/2017,2675.080078,2876.709961,2658.590088,2836.530029,2836.530029,341992860
7/22/2017,2836.530029,2856.669922,2675.649902,2756.610107,2756.610107,299869260
7/23/2017,2756.610107,2798.889893,2715.689941,2763.419922,2763.419922,229047365
7/24/2017,2763.419922,2779.080078,2472.620117,2582.580078,2582.580078,534765380
7/25/2017,2582.580078,2631.72998,2441.540039,2559.209961,2559.209961,340465234
7/26/2017,2559.209961,2712.919922,2547.73999,2691.879883,2691.879883,269880857
7/27/2017,2691.879883,2843.780029,2683.590088,2806.75,2806.75,383479795
7/28/2017,2806.75,2812.129883,2699.419922,2733.5,2733.5,230818894
7/29/2017,2733.5,2773.060059,2621.679932,2766.48999,2766.48999,222933516
7/30/2017,2766.48999,2916.300049,2723.050049,2883.27002,2883.27002,254836601
7/31/2017,2883.27002,2946.02002,2659.620117,2746.98999,2746.98999,341216428
8/1/2017,2746.98999,2773.800049,2668.870117,2720.530029,2720.530029,222534344
8/2/2017,2720.530029,2822.879883,2717.620117,2809.98999,2809.98999,188517085
8/3/2017,2809.98999,2892.669922,2779.51001,2878.48999,2878.48999,195800289
8/4/2017,2878.48999,3344.01001,2875.909912,3262.800049,3262.800049,503737620
8/5/2017,3262.800049,3295.070068,3166.52002,3232.030029,3232.030029,196484496
8/6/2017,3232.030029,3425.129883,3198.51001,3401.909912,3401.909912,294021645
8/7/2017,3401.909912,3494.870117,3357.149902,3429.379883,3429.379883,366169429
8/8/2017,3429.379883,3437.149902,3251.030029,3348.790039,3348.790039,324058681
8/9/2017,3348.790039,3453.840088,3322.919922,3425.669922,3425.669922,242024460
8/10/2017,3425.669922,3706.47998,3409.790039,3654.370117,3654.370117,345135492
8/11/2017,3654.370117,3967.26001,3611.360107,3871.620117,3871.620117,469532325
8/12/2017,3871.620117,4189.419922,3847.310059,4062.600098,4062.600098,638917500
8/13/2017,4062.600098,4336.709961,3978.949951,4327.939941,4327.939941,540927757
8/14/2017,4327.939941,4436.47998,3837.129883,4161.660156,4161.660156,872840682
8/15/2017,4161.660156,4398.060059,3938.620117,4387.399902,4387.399902,472960334
8/16/2017,4387.399902,4487.5,4194.100098,4278.919922,4278.919922,554232802
8/17/2017,4278.919922,4362.72998,3978.280029,4105.370117,4105.370117,603898315
8/18/2017,4105.370117,4189.680176,3957.459961,4150.450195,4150.450195,462723151
8/19/2017,4150.450195,4182.290039,4034.399902,4066.600098,4066.600098,288193446
8/20/2017,4066.600098,4097.25,3966.929932,4005.100098,4005.100098,365174045
8/21/2017,4005.100098,4142.680176,3612.209961,4089.699951,4089.699951,659657838
8/22/2017,4089.699951,4255.620117,4070.48999,4141.089844,4141.089844,402340258
8/23/2017,4141.089844,4364.109863,4111.709961,4318.350098,4318.350098,305373477
8/24/2017,4318.350098,4461.709961,4292.629883,4364.410156,4364.410156,362283252
8/25/2017,4364.410156,4379.279785,4263.279785,4352.299805,4352.299805,199403922
8/26/2017,4352.299805,4408.180176,4321.120117,4345.75,4345.75,185180843
8/27/2017,4345.75,4403.129883,4195.22998,4390.310059,4390.310059,325285703
8/28/2017,4390.310059,4647.830078,4350.220215,4597.310059,4597.310059,455467850
8/29/2017,4597.310059,4644.060059,4491.790039,4583.02002,4583.02002,313466398
8/30/2017,4583.02002,4765.069824,4580.129883,4735.109863,4735.109863,338981145
8/31/2017,4735.109863,4925.22998,4690.169922,4921.850098,4921.850098,491140364
9/1/2017,4921.850098,4976.52002,4448.640137,4573.799805,4573.799805,747713818
9/2/2017,4573.799805,4719.779785,4397.740234,4612.919922,4612.919922,470135795
9/3/2017,4612.919922,4621.009766,4098.580078,4267.450195,4267.450195,737216060
9/4/2017,4267.450195,4496.669922,4004.620117,4409.080078,4409.080078,673846827
9/5/2017,4409.080078,4660.040039,4401.529785,4618.709961,4618.709961,504717245
9/6/2017,4618.709961,4690.549805,4493.200195,4635.600098,4635.600098,324939872
9/7/2017,4635.600098,4699.589844,4130.879883,4326.450195,4326.450195,786819863
9/8/2017,4326.450195,4402.149902,4185.330078,4335.129883,4335.129883,332195251
9/9/2017,4335.129883,4338.080078,4032.149902,4245.890137,4245.890137,451244396
9/10/2017,4245.890137,4364.419922,4134.620117,4217.899902,4217.899902,375254125
9/11/2017,4217.899902,4387.759766,4074.969971,4158.919922,4158.919922,453402207
9/12/2017,4158.919922,4174.580078,3752.01001,3870.290039,3870.290039,728385231
9/13/2017,3870.290039,3930.689941,3218.97998,3243.080078,3243.080078,1118258889
9/14/2017,3243.080078,3824.429932,2979.879883,3713.76001,3713.76001,1519153953
9/15/2017,3713.76001,3893.669922,3551.830078,3698.919922,3698.919922,627559216
9/16/2017,3698.919922,3796.560059,3485.830078,3689.610107,3689.610107,351250484
9/17/2017,3689.610107,4122.75,3689,4100.279785,4100.279785,586938661
9/18/2017,4100.279785,4120.709961,3852.219971,3907.959961,3907.959961,488897829
9/19/2017,3907.959961,4053.040039,3846.76001,3882.159912,3882.159912,342438072
9/20/2017,3882.159912,3912.790039,3576.540039,3617.27002,3617.27002,543570164
9/21/2017,3617.27002,3753.51001,3505.810059,3600.830078,3600.830078,414612501
9/22/2017,3600.830078,3813.389893,3563.179932,3788.02002,3788.02002,253370774
9/23/2017,3788.02002,3790.889893,3633.879883,3667.52002,3667.52002,183852135
9/24/2017,3667.52002,3971.5,3665.669922,3932.830078,3932.830078,386674961
9/25/2017,3932.830078,3982.310059,3858.75,3892.699951,3892.699951,248481868
9/26/2017,3892.699951,4232.350098,3882.080078,4212.200195,4212.200195,480358673
9/27/2017,4212.200195,4274.640137,4112.879883,4195.649902,4195.649902,386909537
9/28/2017,4195.649902,4237.509766,4030.370117,4172.790039,4172.790039,404599756
9/29/2017,4172.790039,4383.27002,4164.25,4360.620117,4360.620117,290796939
9/30/2017,4360.620117,4412.620117,4258.319824,4403.089844,4403.089844,262485153
10/1/2017,4403.089844,4477.379883,4364.669922,4401.319824,4401.319824,314621927
10/2/2017,4401.319824,4435.990234,4230.72998,4314.180176,4314.180176,353046057
10/3/2017,4314.180176,4355.290039,4183.569824,4218.660156,4218.660156,272424730
10/4/2017,4218.660156,4365.759766,4143.350098,4321.439941,4321.439941,271914958
10/5/2017,4321.439941,4422.149902,4296.930176,4371.939941,4371.939941,269878225
10/6/2017,4371.939941,4472.919922,4319.47998,4435.810059,4435.810059,176332039
10/7/2017,4435.810059,4622.870117,4419.359863,4611.700195,4611.700195,323063950
10/8/2017,4611.700195,4875.379883,4556.149902,4777.490234,4777.490234,518586828
10/9/2017,4777.490234,4930,4722.810059,4763.359863,4763.359863,475717720
10/10/2017,4763.359863,4874.890137,4718.600098,4824.200195,4824.200195,338533507
10/11/2017,4824.200195,5432.629883,4814.97998,5432.620117,5432.620117,848641969
10/12/2017,5432.620117,5852.779785,5391.970215,5637.259766,5637.259766,1211469140
10/13/2017,5637.259766,5839.620117,5568.859863,5824.709961,5824.709961,434406119
10/14/2017,5824.709961,5862.689941,5448.220215,5688.140137,5688.140137,571166215
10/15/2017,5677.350098,5795.330078,5576.100098,5759.330078,5759.330078,349154669
10/16/2017,5759.25,5773.319824,5521.089844,5598.580078,5598.580078,368658284
10/17/2017,5598.580078,5601.299805,5114.870117,5575.830078,5575.830078,654722509
10/18/2017,5576.709961,5737.410156,5517.620117,5698.649902,5698.649902,469774559
10/19/2017,5698.620117,6075.319824,5611.390137,5993.109863,5993.109863,729487923
10/20/2017,5993.109863,6187.200195,5874.540039,6006.649902,6006.649902,684989667
10/21/2017,6006.649902,6070.560059,5722.97998,5982.859863,5982.859863,618893096
10/22/2017,5982.859863,6048.97998,5644.220215,5903.609863,5903.609863,801148315
10/23/2017,5903.609863,5904.629883,5463.410156,5513.080078,5513.080078,811951129
10/24/2017,5513.080078,5747.959961,5375.640137,5734,5734,585738379
10/25/2017,5734,5970.399902,5689.919922,5887.609863,5887.609863,547664553
10/26/2017,5887.620117,5997.830078,5692.319824,5764.560059,5764.560059,488283724
10/27/2017,5764.560059,5871.040039,5654.799805,5726.609863,5726.609863,305611140
10/28/2017,5726.609863,6295.430176,5679.370117,6147.52002,6147.52002,966990808
10/30/2017,6147.700195,6226.180176,6018.970215,6124.279785,6124.279785,481600502
10/31/2017,6124.279785,6467.200195,6090.830078,6451.240234,6451.240234,637838767
11/1/2017,6449.100098,6738.740234,6355,6737.779785,6737.779785,869798619
11/2/2017,6737.779785,7339.910156,6737.77002,7024.810059,7024.810059,1663170039
11/3/2017,7024.810059,7445.620117,6938.930176,7152.120117,7152.120117,1120978013
11/4/2017,7146.97998,7492.240234,6957.839844,7363.799805,7363.799805,773371754
11/5/2017,7363.799805,7599.439941,7284.330078,7389.549805,7389.549805,789287755
11/6/2017,7389.549805,7429.700195,6934.72998,6959.22998,6959.22998,1148125488
11/7/2017,6959.27002,7222.370117,6957.799805,7102.75,7102.75,716798409
11/8/2017,7102.22998,7869.100098,7026.970215,7444.359863,7444.359863,1632547465
11/9/2017,7444.359863,7457.120117,7040.830078,7129.589844,7129.589844,915963933
11/10/2017,7129.589844,7318.970215,6406.049805,6565.799805,6565.799805,1513421266
11/11/2017,6565.799805,6821.5,6197.870117,6339.859863,6339.859863,878096915
11/12/2017,6339.870117,6490.529785,5493.640137,5878.129883,5878.129883,1629165385
11/13/2017,5878.089844,6760.149902,5828.339844,6522.450195,6522.450195,1135256036
11/14/2017,6522.450195,6728.589844,6419.180176,6597.060059,6597.060059,634604991
11/15/2017,6597.060059,7330.060059,6596.939941,7283.220215,7283.220215,922959468
